Trayek,Latitude,Longitude
PAKUPATAN                           - CICERI - KEPANDEAN PP,-610543,106.17648
PAKUPATAN                           - AHMAD YANI - KEPANDEAN PP,-6.10759,106.17519
PAKUPATAN                           - PASAR RAU - KEPANDEAN PP,-6.12764,106.14416
PAKUPATAN                           - CIPOCOK - PASAR RAU PP,-6.12161,106.13974
CIPOCOK                             - YUMAGA - KEPANDEAN - ROYAL PP,-6.12060,106.20366
CIPOCOK                             - YUMAGA - KEPANDEAN - ROYAL PP (VIA BUAH GEDE/ AL AZHAR),-6.11988,106.19451
CIPOCOK                             - ROYAL - PASAR LAMA - PASAR RAU PP,-6.12051,106.18476
KEPANDEAN                           - LOPANG - PASAR RAU,-612479,106.17664
SAWAH LUHUR/KEMAYUNGAN/LEBAK INDAH  - PASAR RAU - ROYAL PP,-6.12046,106.17393
PAKUPATAN                           - POLDA BANTEN - SIMPANG BORU - CIPOCOK PP,-6.10982,106.16708
PAKUPATAN                           � POLDA BANTEN � KP3B PALIMA � KEPANDEAN PP,-612148,106.14771
PASAR RAU                           - BANTEN,-6.11467,106.13902
